Department ID,Department-Division,PCN,Position Title,FLSA Status,Initial Hire Date,Date in Title,Salary,Years Approx
CAD,CAD 010 City Attorney,B.005503,Associate City Attorney,,06/16/2004,06/16/2007,$97823.44,10.96986301369863
CAD,CAD 010 City Attorney,B.006083,Associate City Attorney,,05/01/2011,05/01/2011,$102424.92,7.093150684931507
CAD,CAD 010 City Attorney,B.005682,Associate City Attorney,,10/16/2008,10/16/2008,$103815.40,9.632876712328768
CAD,CAD 010 City Attorney,B.001381,Associate City Attorney,,09/01/2007,04/01/2014,$106504.84,4.1726027397260275
CAD,CAD 010 City Attorney,B.005049,Associate City Attorney,,11/16/2006,02/01/2008,$108437.16,10.33972602739726
CAD,CAD 010 City Attorney,B.000926,Associate City Attorney,,05/16/2004,05/16/2006,$111976.54,12.054794520547945
CAD,CAD 010 City Attorney,B.001341,City Attorney,,02/16/1999,03/01/2009,$222989.52,9.26027397260274
CAD,CAD 010 City Attorney,B.001758.1     ,Deputy City Attorney,,11/01/1999,09/22/2016,$133139.50,1.6931506849315068
CAD,CAD 010 City Attorney,B.002654,Deputy City Attorney,,11/16/1997,07/01/2006,$138994.44,11.92876712328767
CAD,CAD 010 City Attorney,B.003992,Deputy City Attorney,,09/20/1999,03/01/2007,$138994.44,11.263013698630138
CAD,CAD 010 City Attorney,B.004293,Deputy City Attorney,,08/01/1998,03/01/2007,$138994.44,11.263013698630138
CAD,CAD 010 City Attorney,B.002685.1     ,Deputy City Attorney,,09/01/2000,03/16/2009,$139159.54,9.219178082191782
CAD,CAD 010 City Attorney,B.003579.2     ,Executive Assistant II,,08/01/2012,08/01/2012,$48104.68,5.838356164383562
CAD,CAD 010 City Attorney,B.003967.1     ,Legal Assistant Supervisor,,05/16/2004,04/01/2014,$63484.20,4.1726027397260275
CAD,CAD 010 City Attorney,B.000135,Legal Office Administrator,,09/01/2004,09/01/2004,$74305.40,13.758904109589041
CAD,CAD 010 City Attorney,B.002504,Legal Secretary I,,10/22/2015,10/22/2015,$35523.80,2.6136986301369864
CAD,CAD 010 City Attorney,B.001161.1     ,Legal Secretary II,,08/22/2014,02/22/2016,$39211.90,2.276712328767123
CAD,CAD 010 City Attorney,B.001536.2     ,Legal Secretary II,,11/07/2014,11/07/2014,$39314.34,3.56986301369863
CAD,CAD 010 City Attorney,B.006082,Legal Secretary II,,06/01/2006,11/01/2012,$43014.92,5.586301369863014
CAD,CAD 010 City Attorney,B.002234,Paralegal,,10/07/2015,10/07/2015,$47773.70,2.654794520547945
CAD,CAD 010 City Attorney,B.005502.1     ,Paralegal,,01/01/2008,02/07/2016,$47773.70,2.317808219178082
CAD,CAD 010 City Attorney,B.002709,Paralegal,,08/22/2014,08/22/2014,$47875.88,3.780821917808219
CAD,CAD 010 City Attorney,B.003497,Paralegal,,11/01/2013,09/22/2014,$47875.88,3.695890410958904
CAD,CAD 010 City Attorney,B.005096.1     ,Paralegal,,06/16/2006,10/22/2014,$47875.88,3.6136986301369864
CAD,CAD 010 City Attorney,B.005200.1     ,Paralegal,,04/01/2008,05/16/2011,$50447.54,7.052054794520548
CAD,CAD 010 City Attorney,B.005064,Paralegal,,07/16/2004,08/16/2006,$51434.76,11.802739726027397
CAD,CAD 010 City Attorney,B.006176,Paralegal,,04/01/2005,11/16/2007,$51596.48,10.550684931506849
CAD,CAD 010 City Attorney,B.004631,Paralegal,,03/22/2016,03/22/2016,$51869.48,2.197260273972603
CAD,CAD 010 City Attorney,B.006504,Senior Attorney,,11/01/2008,07/07/2015,$114292.10,2.9068493150684933
CAD,CAD 010 City Attorney,B.004977,Senior Attorney,,04/16/2006,08/16/2013,$118646.06,4.7972602739726025
CAD,CAD 010 City Attorney,B.005820,Senior Attorney,,06/16/2006,07/07/2015,$119896.66,2.9068493150684933
CCC,CCC 041 Clerk of Circuit Court,B.006390,Clerk II,,02/22/2016,02/22/2016,$26098.80,2.276712328767123
CCC,CCC 041 Clerk of Circuit Court,B.006702,Clerk II,,11/22/2015,11/22/2015,$26408.20,2.5287671232876714
CCC,CCC 041 Clerk of Circuit Court,B.006389,Clerk II,,11/01/1995,08/16/2010,$36395.58,7.8
CCC,CCC 041 Clerk of Circuit Court,B.006388,Clerk III,,07/01/2005,07/07/2015,$31443.10,2.9068493150684933
CCC,CCC 041 Clerk of Circuit Court,B.005729,Clerk III,,10/01/1998,12/01/2000,$36116.60,17.512328767123286
CIR,CIR 011 Circuit Court/Judges Office,B.004909.1     ,Business Application Specialist I,,03/16/1990,11/01/2006,$61676.16,11.591780821917808
CIR,CIR 011 Circuit Court/Judges Office,B.003816,Court Administrator,,06/01/2003,06/01/2003,$109823.74,15.013698630136986
CIR,CIR 011 Circuit Court/Judges Office,B.005757,Judicial Assistant I,,01/07/2016,01/07/2016,$35107.28,2.4027397260273973
CIR,CIR 011 Circuit Court/Judges Office,B.001911,Judicial Assistant I,,07/01/2005,02/01/2014,$35728.16,4.3342465753424655
CIR,CIR 011 Circuit Court/Judges Office,B.002621,Judicial Assistant II,,06/01/2001,07/01/2006,$44802.68,11.92876712328767
CIR,CIR 011 Circuit Court/Judges Office,B.005154,Judicial Assistant III,,08/01/1997,07/01/2006,$55187.08,11.92876712328767
CIR,CIR 011 Circuit Court/Judges Office,B.000619,Jury Specialist,,05/01/2004,01/07/2016,$48160.32,2.4027397260273973
CIR,CIR 011 Circuit Court/Judges Office,B.004582,Law Clerk,,08/22/2016,08/22/2016,$50273.60,1.7780821917808218
CIR,CIR 011 Circuit Court/Judges Office,B.005218,Law Clerk,,08/07/2016,08/07/2016,$50273.60,1.819178082191781
CIR,CIR 011 Circuit Court/Judges Office,B.005758,Law Clerk,,08/07/2016,08/07/2016,$50273.60,1.819178082191781
CIR,CIR 011 Circuit Court/Judges Office,B.000176,Paralegal,,12/16/1987,07/01/2006,$67600.00,11.92876712328767
CIR,CIR 011 Circuit Court/Judges Office,B.004012,Staff Attorney,,07/16/1998,07/16/1998,$100911.20,19.893150684931506
CIT,CIT 120 Information Technology Business Center,B.001871,Account Clerk II,,05/11/2017,05/11/2017,$30686.64,1.0602739726027397
CIT,CIT 120 Information Technology Business Center,B.005463,Account Clerk II,,04/13/2017,04/13/2017,$30686.64,1.1369863013698631
CIT,CIT 120 Information Technology Business Center,B.003613,Account Clerk II,,10/07/2014,03/02/2017,$32198.14,1.252054794520548
CIT,CIT 120 Information Technology Business Center,B.003055.1     ,Account Clerk III,,11/01/2012,01/07/2015,$35628.58,3.4027397260273973
CIT,CIT 120 Information Technology Business Center,B.003001.2     ,Accountant III,,02/07/2016,02/07/2016,$73030.62,2.317808219178082
CIT,CIT 120 Information Technology Business Center,B.003191,Administrative Services Manager II,,08/01/1989,01/01/2004,$81032.12,14.427397260273972
CIT,CIT 120 Information Technology Business Center,B.002808.1     ,Administrative Technician,,05/22/2015,01/05/2017,$37302.20,1.4054794520547946
CIT,CIT 121 Applications Support,B.000502.1     ,Applications Support Administrator,,04/01/1999,06/22/2017,$126588.80,0.9452054794520548
CIT,CIT 120 Information Technology Business Center,B.003339,Chief Information Officer,,04/13/2017,04/13/2017,$151518.90,1.1369863013698631
CIT,CIT 130 Telecommunications,B.005543.2     ,Chief Technology Officer,,09/16/2013,09/16/2013,$126326.20,4.712328767123288
CIT,CIT 120 Information Technology Business Center,B.005644,Clerk III,,02/01/2005,08/16/2012,$32259.24,5.7972602739726025
CIT,CIT 123 Systems Support,B.001526.1     ,Computer Operations Supervisor,,01/01/2004,01/01/2004,$86161.40,14.427397260273972
CIT,CIT 123 Systems Support,B.004277.1     ,Computer Operator III,,02/22/2015,02/22/2015,$45676.02,3.276712328767123
CIT,CIT 123 Systems Support,B.002703.1     ,Computer Operator III,,11/22/2014,11/22/2014,$49444.46,3.5287671232876714
CIT,CIT 123 Systems Support,B.000639.1     ,Computer Operator III,,11/16/1976,11/01/1986,$61235.20,31.605479452054794
CIT,CIT 114 Mail Service,B.002220,Distribution Clerk I,,02/22/2015,02/22/2015,$26408.20,3.276712328767123
CIT,CIT 114 Mail Service,B.003398,Distribution Clerk II,,11/01/2007,07/07/2016,$29288.74,1.904109589041096
CIT,CIT 114 Mail Service,B.005961.1     ,Distribution Clerk II,,06/01/2009,05/01/2012,$29780.66,6.090410958904109
CIT,CIT 114 Mail Service,B.000146,Distribution Clerk Supervisor,,10/16/1998,11/22/2014,$52323.96,3.5287671232876714
CIT,CIT 128 Information Technology Security,B.006442.1     ,Electronics Operations Technician,,11/22/2014,11/22/2014,$47773.70,3.5287671232876714
CIT,CIT 128 Information Technology Security,B.006441.1     ,Electronics Operations Technician,,11/16/2007,11/16/2007,$48519.12,10.550684931506849
CIT,CIT 120 Information Technology Business Center,B.003212,Executive Assistant II,,06/22/2016,06/22/2016,$39776.10,1.9452054794520548
CIT,CIT 121 Applications Support,B.006402.1     ,Financial Analyst,,11/01/2006,11/01/2006,$80733.12,11.591780821917808
CIT,CIT 120 Information Technology Business Center,B.002190.2     ,Financial Specialist,,07/07/2016,07/07/2016,$45552.00,1.904109589041096
CIT,CIT 124 Center for Geospatial Information Services,B.002099,GIS Coordinator,,12/01/1996,07/01/2001,$99456.24,16.931506849315067
CIT,CIT 124 Center for Geospatial Information Services,B.003980,GIS Technician II,,02/01/2011,02/01/2013,$47499.66,5.3342465753424655
CIT,CIT 124 Center for Geospatial Information Services,B.002285,GIS Technician III,,08/17/1987,09/01/2007,$56774.12,10.758904109589041
CIT,CIT 124 Center for Geospatial Information Services,B.001654,GIS Technician III,,03/01/1988,10/16/2009,$59398.82,8.632876712328768
CIT,CIT 124 Center for Geospatial Information Services,B.004125,GIS Technician III,,11/16/1983,07/16/2006,$63651.38,11.887671232876713
CIT,CIT 129 Technology Services,B.001976.2     ,Information Services Administrator,,07/01/1992,10/01/2009,$122162.04,8.673972602739726
CIT,CIT 133 Strategy & Architecture,B.002544.2     ,Information Systems Architect,,06/22/2015,07/22/2016,$88912.20,1.8630136986301369
CIT,CIT 133 Strategy & Architecture,B.007163.1     ,Information Systems Architect,,06/07/2015,04/13/2017,$90032.02,1.1369863013698631
CIT,CIT 123 Systems Support,B.006737.1     ,Information Systems Coordinator,,08/22/2016,08/22/2016,$83879.12,1.7780821917808218
CIT,CIT 129 Technology Services,B.005950.2     ,Information Technology Services Coordinator,,05/16/2011,05/16/2011,$110298.24,7.052054794520548
CIT,CIT 129 Technology Services,B.006937.2     ,IT Business Relationship Manager,,01/22/2015,01/22/2015,$99351.98,3.361643835616438
CIT,CIT 123 Systems Support,B.000308.3     ,IT Support Center Specialist II,,02/16/2017,02/16/2017,$43355.52,1.2904109589041095
CIT,CIT 123 Systems Support,B.000664.4     ,IT Support Center Specialist II,,01/16/2014,01/16/2014,$47676.72,4.3780821917808215
CIT,CIT 123 Systems Support,B.006733.2     ,IT Support Center Specialist II,,10/01/2001,10/01/2012,$64334.40,5.671232876712328
CIT,CIT 123 Systems Support,B.005553.3     ,IT Support Supervisor,,03/16/1999,09/07/2016,$62679.24,1.7342465753424658
CIT,CIT 120 Information Technology Business Center,B.005852.2     ,Media and Communications Coordinator II,,07/06/2017,07/06/2017,$50273.60,0.9068493150684932
CIT,CIT 123 Systems Support,B.005023.1     ,Microcomputer Systems Analyst I,,02/16/2017,02/16/2017,$47851.70,1.2904109589041095
CIT,CIT 123 Systems Support,B.005771.1     ,Microcomputer Systems Analyst I,,03/01/2008,04/01/2011,$50541.14,7.175342465753425
CIT,CIT 123 Systems Support,B.006431,Microcomputer Systems Analyst I,,11/16/2005,11/16/2005,$55247.40,12.550684931506849
CIT,CIT 123 Systems Support,B.000482,Microcomputer Systems Analyst I,,04/16/1997,07/01/2001,$58420.44,16.931506849315067
CIT,CIT 123 Systems Support,B.004256,Microcomputer Systems Analyst I,,05/26/1999,05/26/1999,$62093.72,19.03287671232877
CIT,CIT 128 Information Technology Security,B.003918.1     ,Microcomputer Systems Analyst II,,07/06/2017,07/06/2017,$57720.00,0.9068493150684932
CIT,CIT 123 Systems Support,B.002896,Microcomputer Systems Analyst II,,08/22/2014,08/22/2014,$58217.38,3.780821917808219
CIT,CIT 123 Systems Support,B.005508,Microcomputer Systems Analyst II,,10/16/2001,04/01/2013,$62363.08,5.1726027397260275
CIT,CIT 121 Applications Support,B.003369,Programmer/Analyst I,,08/16/1989,07/01/2004,$65442.00,13.92876712328767
CIT,CIT 121 Applications Support,B.005640.1     ,Programmer/Analyst II,,05/01/2008,05/01/2008,$66145.30,10.093150684931507
CIT,CIT 121 Applications Support,B.003199,Programmer/Analyst II,,09/01/1990,09/01/2012,$72094.36,5.7534246575342465
CIT,CIT 121 Applications Support,B.006503,Programmer/Analyst II,,10/01/2006,10/01/2006,$76669.06,11.676712328767124
CIT,CIT 121 Applications Support,B.005551.1     ,Programmer/Analyst II,,04/01/2002,09/01/2003,$76678.16,14.761643835616438
CIT,CIT 121 Applications Support,B.003563,Programmer/Analyst II,,03/16/1985,02/16/1990,$85196.80,28.30958904109589
CIT,CIT 121 Applications Support,B.002439.1     ,Programmer/Analyst III,,02/16/2012,02/16/2012,$82273.88,6.295890410958904
CIT,CIT 121 Applications Support,B.001790,Programmer/Analyst III,,01/16/1982,01/01/1991,$94036.80,27.435616438356163
CIT,CIT 121 Applications Support,B.003054,Programmer/Analyst III,,09/01/1983,05/16/2005,$94036.80,13.054794520547945
CIT,CIT 120 Information Technology Business Center,B.001351.2     ,Special Projects Coordinator,,10/01/2005,01/05/2017,$64054.64,1.4054794520547946
CIT,CIT 121 Applications Support,B.006507.3     ,Systems Analyst I,,06/08/2017,06/08/2017,$61266.92,0.9835616438356164
CIT,CIT 121 Applications Support,B.006434.1     ,Systems Analyst I,,11/22/2016,11/22/2016,$64344.80,1.526027397260274
CIT,CIT 124 Center for Geospatial Information Services,B.006844,Systems Analyst I,,03/02/2017,03/02/2017,$70707.26,1.252054794520548
CIT,CIT 124 Center for Geospatial Information Services,B.002097,Systems Analyst I,,04/16/2000,12/16/2001,$74595.56,16.471232876712328
CIT,CIT 121 Applications Support,B.003946,Systems Analyst I,,08/16/2002,04/07/2015,$76373.96,3.1561643835616437
CIT,CIT 124 Center for Geospatial Information Services,B.000610,Systems Analyst I,,06/16/2000,06/16/2000,$79015.04,17.972602739726028
CIT,CIT 121 Applications Support,B.006443.3     ,Systems Analyst II,,07/20/2017,07/20/2017,$71032.00,0.8684931506849315
CIT,CIT 121 Applications Support,B.001159,Systems Analyst II,,11/07/2016,11/07/2016,$72727.98,1.5671232876712329
CIT,CIT 121 Applications Support,B.003703.1     ,Systems Analyst II,,06/07/2016,06/07/2016,$73623.16,1.9863013698630136
CIT,CIT 129 Technology Services,B.006734.1     ,Systems Analyst II,,05/07/2016,05/07/2016,$73623.16,2.0712328767123287
CIT,CIT 129 Technology Services,B.006732,Systems Analyst II,,10/07/2015,10/07/2015,$74535.24,2.654794520547945
CIT,CIT 121 Applications Support,B.000795.3     ,Systems Analyst II,,05/01/2009,06/22/2015,$74637.94,2.947945205479452
CIT,CIT 121 Applications Support,B.001309.1     ,Systems Analyst II,,12/16/2007,12/16/2013,$74740.12,4.463013698630137
CIT,CIT 129 Technology Services,B.005384.4     ,Systems Analyst II,,06/16/2012,04/22/2015,$78016.38,3.115068493150685
CIT,CIT 121 Applications Support,B.001145.1     ,Systems Analyst II,,10/07/2015,10/07/2015,$79362.14,2.654794520547945
CIT,CIT 124 Center for Geospatial Information Services,B.002165.2     ,Systems Analyst II,,03/22/2015,03/22/2015,$79797.64,3.2
CIT,CIT 121 Applications Support,B.001857.2     ,Systems Analyst II,,06/08/2017,06/08/2017,$80811.20,0.9835616438356164
CIT,CIT 121 Applications Support,B.006936,Systems Analyst II,,01/07/2016,01/07/2016,$80904.20,2.4027397260273973
CIT,CIT 121 Applications Support,B.003881,Systems Analyst II,,08/16/2007,08/16/2007,$81507.14,10.802739726027397
CIT,CIT 124 Center for Geospatial Information Services,B.005889.1     ,Systems Analyst II,,01/01/2013,03/07/2016,$81560.44,2.2383561643835614
CIT,CIT 121 Applications Support,B.003602.1     ,Systems Analyst II,,07/22/2014,07/22/2014,$81796.26,3.8657534246575342
CIT,CIT 121 Applications Support,B.006192,Systems Analyst II,,12/23/2013,12/23/2013,$81796.26,4.443835616438356
CIT,CIT 129 Technology Services,B.007003,Systems Analyst II,,06/07/2015,06/07/2015,$81796.26,2.989041095890411
CIT,CIT 124 Center for Geospatial Information Services,B.002608.1     ,Systems Analyst II,,05/01/2008,10/16/2013,$83156.06,4.63013698630137
CIT,CIT 124 Center for Geospatial Information Services,B.001718,Systems Analyst II,,06/16/2010,10/16/2013,$84522.10,4.63013698630137
CIT,CIT 121 Applications Support,B.002627,Systems Analyst II,,02/07/2016,02/07/2016,$84524.18,2.317808219178082
CIT,CIT 124 Center for Geospatial Information Services,B.005960.1     ,Systems Analyst II,,11/16/1988,04/01/2012,$87845.94,6.1726027397260275
CIT,CIT 121 Applications Support,B.006738.1     ,Systems Analyst II,,07/01/2013,07/01/2013,$87995.44,4.923287671232877
CIT,CIT 121 Applications Support,B.000715.1     ,Systems Analyst II,,08/16/2013,08/16/2013,$89056.76,4.7972602739726025
CIT,CIT 124 Center for Geospatial Information Services,B.002441,Systems Analyst II,,08/16/1973,04/01/2007,$91137.02,11.178082191780822
CIT,CIT 133 Strategy & Architecture,B.006845.3     ,Systems Analyst II,,12/01/2012,12/01/2012,$92697.28,5.504109589041096
CIT,CIT 121 Applications Support,B.000198,Systems Analyst II,,11/01/2002,09/01/2011,$94145.74,6.756164383561644
CIT,CIT 130 Telecommunications,B.004150,Systems Analyst II,,06/01/2000,06/01/2000,$95628.26,18.013698630136986
CIT,CIT 124 Center for Geospatial Information Services,B.002125,Systems Analyst II,,09/01/1981,04/01/2005,$96772.52,13.178082191780822
CIT,CIT 129 Technology Services,B.000178.2     ,Systems Analyst II,,12/01/1999,01/01/2004,$99290.10,14.427397260273972
CIT,CIT 121 Applications Support,B.003381,Systems Analyst III,,06/01/2010,06/01/2010,$79895.40,8.008219178082191
CIT,CIT 129 Technology Services,B.000474.1     ,Systems Analyst III,,11/07/2015,04/27/2017,$82061.98,1.0986301369863014
CIT,CIT 133 Strategy & Architecture,B.004374.1     ,Systems Analyst III,,06/22/2016,06/22/2016,$83064.80,1.9452054794520548
CIT,CIT 129 Technology Services,B.002790.1     ,Systems Analyst III,,01/16/2011,08/16/2013,$85223.84,4.7972602739726025
CIT,CIT 124 Center for Geospatial Information Services,B.001783,Systems Analyst III,,11/01/2002,07/22/2015,$91187.46,2.8657534246575342
CIT,CIT 121 Applications Support,B.006735,Systems Analyst III,,05/01/2013,05/01/2013,$93581.02,5.090410958904109
CIT,CIT 121 Applications Support,B.003552.1     ,Systems Analyst III,,03/16/2011,03/16/2011,$94792.36,7.219178082191781
CIT,CIT 121 Applications Support,B.007144,Systems Analyst III,,10/01/2013,02/16/2017,$95779.57,1.2904109589041095
CIT,CIT 124 Center for Geospatial Information Services,B.000756,Systems Analyst III,,06/01/1999,11/16/2007,$97622.72,10.550684931506849
CIT,CIT 121 Applications Support,B.006193,Systems Analyst III,,08/01/2007,08/01/2007,$98199.66,10.843835616438357
CIT,CIT 129 Technology Services,B.006190.1     ,Systems Analyst III,,05/16/2006,05/16/2006,$98518.68,12.054794520547945
CIT,CIT 129 Technology Services,B.006191.1     ,Systems Analyst III,,07/01/2005,07/01/2005,$100838.14,12.92876712328767
CIT,CIT 121 Applications Support,B.005829.1     ,Systems Analyst III,,11/16/2010,11/16/2010,$102432.98,7.5479452054794525
CIT,CIT 121 Applications Support,B.003951.1     ,Systems Analyst III,,02/16/2004,04/01/2013,$102542.44,5.1726027397260275
CIT,CIT 133 Strategy & Architecture,B.001848.1     ,Systems Analyst III,,12/16/2013,12/16/2013,$105028.82,4.463013698630137
CIT,CIT 121 Applications Support,B.005948,Systems Analyst III,,02/16/2004,02/16/2004,$108205.50,14.301369863013699
CIT,CIT 121 Applications Support,B.003547.2     ,Systems Analyst III,,08/16/2000,01/16/2013,$110321.38,5.3780821917808215
CIT,CIT 121 Applications Support,B.002964,Systems Analyst III,,12/01/2002,12/01/2002,$110906.90,15.512328767123288
CIT,CIT 128 Information Technology Security,B.007145,Systems Engineer I,,03/07/2015,06/22/2017,$64979.20,0.9452054794520548
CIT,CIT 122 Data & Information Management,B.000710.1     ,Systems Engineer I,,02/07/2016,02/07/2016,$66709.76,2.317808219178082
CIT,CIT 130 Telecommunications,B.002204.1     ,Systems Engineer I,,03/01/2006,04/16/2014,$67828.54,4.131506849315069
CIT,CIT 128 Information Technology Security,B.005645.1     ,Systems Engineer I,,11/16/2007,11/16/2007,$69760.60,10.550684931506849
CIT,CIT 128 Information Technology Security,B.001425.1     ,Systems Engineer I,,12/07/2015,02/16/2017,$70345.26,1.2904109589041095
CIT,CIT 128 Information Technology Security,B.003877.1     ,Systems Engineer I,,11/01/2013,07/07/2014,$72933.38,3.9068493150684933
CIT,CIT 123 Systems Support,B.003266,Systems Engineer I,,05/01/2014,05/01/2014,$74100.78,4.090410958904109
CIT,CIT 123 Systems Support,B.006195,Systems Engineer I,,01/01/2003,05/01/2011,$75482.68,7.093150684931507
CIT,CIT 130 Telecommunications,B.003769,Systems Engineer I,,05/16/2000,08/07/2014,$81974.10,3.8219178082191783
CIT,CIT 123 Systems Support,B.006736,Systems Engineer I,,09/16/1998,12/16/2013,$81974.88,4.463013698630137
CIT,CIT 123 Systems Support,B.004327.1     ,Systems Engineer II,,09/22/2016,09/22/2016,$71032.26,1.6931506849315068
CIT,CIT 123 Systems Support,B.006433,Systems Engineer II,,08/07/2015,08/07/2015,$74535.24,2.8219178082191783
CIT,CIT 121 Applications Support,B.006939,Systems Engineer II,,11/01/2013,11/01/2013,$74642.36,4.586301369863014
CIT,CIT 123 Systems Support,B.005772,Systems Engineer II,,09/07/2016,09/07/2016,$75769.72,1.7342465753424658
CIT,CIT 122 Data & Information Management,B.000890.1     ,Systems Engineer II,,02/22/2015,02/22/2015,$77114.96,3.276712328767123
CIT,CIT 121 Applications Support,B.007001,Systems Engineer II,,09/22/2014,09/22/2014,$79774.50,3.695890410958904
CIT,CIT 123 Systems Support,B.006077.3     ,Systems Engineer II,,09/07/2016,09/07/2016,$80311.14,1.7342465753424658
CIT,CIT 128 Information Technology Security,B.006432.1     ,Systems Engineer II,,02/01/2009,09/07/2016,$87272.38,1.7342465753424658
CIT,CIT 128 Information Technology Security,B.006196.2     ,Systems Engineer II,,03/16/1988,11/16/2013,$88154.82,4.545205479452055
CIT,CIT 122 Data & Information Management,B.003494.2     ,Systems Engineer II,,02/07/2016,02/07/2016,$88170.16,2.317808219178082
CIT,CIT 123 Systems Support,B.002865,Systems Engineer II,,06/16/2012,08/22/2016,$88610.60,1.7780821917808218
CIT,CIT 123 Systems Support,B.003632,Systems Engineer II,,12/16/2013,11/07/2016,$88758.28,1.5671232876712329
CIT,CIT 122 Data & Information Management,B.001013.2     ,Systems Engineer II,,01/07/2016,01/07/2016,$92500.20,2.4027397260273973
CIT,CIT 123 Systems Support,B.002132,Systems Engineer II,,01/01/1990,09/01/1998,$94021.46,19.764383561643836
CIT,CIT 122 Data & Information Management,B.000577.2     ,Systems Engineer II,,09/16/2013,10/22/2016,$96016.96,1.610958904109589
CIT,CIT 130 Telecommunications,B.006050,Systems Engineer II,,03/16/2004,09/01/2009,$99653.84,8.756164383561643
CIT,CIT 123 Systems Support,B.005642,Systems Engineer II,,12/07/2015,12/07/2015,$100040.46,2.4876712328767123
CIT,CIT 122 Data & Information Management,B.002822.1     ,Systems Engineer II,,06/01/2006,09/01/2010,$103199.98,7.756164383561644
CIT,CIT 129 Technology Services,B.000464.4     ,Systems Engineer II,,06/26/2000,11/07/2014,$109054.40,3.56986301369863
CIT,CIT 123 Systems Support,B.003556,Systems Engineer III,,08/07/2015,08/07/2015,$98177.30,2.8219178082191783
CIT,CIT 122 Data & Information Management,B.004377.1     ,Systems Engineer III,,04/07/2016,04/07/2016,$99273.98,2.1534246575342464
CIT,CIT 130 Telecommunications,B.006435.2     ,Systems Engineer III,,11/16/2005,05/22/2016,$99802.30,2.03013698630137
CIT,CIT 128 Information Technology Security,B.005779.1     ,Systems Engineer III,,07/01/2005,01/16/2013,$100185.02,5.3780821917808215
CIT,CIT 123 Systems Support,B.005189,Systems Engineer III,,02/07/2015,02/07/2015,$103224.42,3.317808219178082
CIT,CIT 128 Information Technology Security,B.005074.1     ,Systems Engineer III,,08/16/1999,09/07/2016,$104887.64,1.7342465753424658
CIT,CIT 121 Applications Support,B.006938,Systems Engineer III,,11/01/2013,11/01/2013,$105714.18,4.586301369863014
CIT,CIT 121 Applications Support,B.005641.1     ,Systems Engineer III,,01/01/2011,04/27/2017,$108388.80,1.0986301369863014
CIT,CIT 123 Systems Support,B.004121,Systems Engineer III,,06/16/2001,12/16/2006,$111875.14,11.468493150684932
CIT,CIT 128 Information Technology Security,B.005949.2     ,Systems Engineer III,,04/01/2003,09/16/2004,$112748.22,13.717808219178082
